,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
150,12.9,26.6,,2.0,58.5,13.8,27.2,3.4,6463.0719929762945,6449.96202809482,6680.555555555557,6450.151106132495,3629.464225478939
151,9.7,20.4,0.0,2.4,57.3,13.8,30.19,1.5,6693.516900790167,6664.906057945566,6805.555555555557,6823.72827085882,2001.721781802756
152,5.6,22.2,,2.0,50.3,13.8,29.93,0.0,6644.42866549605,6629.654960491658,6661.111111111111,6691.6274735183715,2261.8013555697185
153,7.2,22.3,,1.9,41.1,13.9,21.24,6.5,3895.706101843722,3952.902326602283,4272.222222222223,4215.445358770319,2672.8814758648823
154,10.3,22.8,,1.7,45.3,13.9,28.36,4.1,6640.535996488148,6718.328138718174,6866.666666666667,6585.207554575635,3411.4222057032807
155,8.2,26.5,,1.8,52.6,13.9,28.5,5.1,5744.164618086041,5734.697541703249,5638.888888888889,5903.239892636635,2619.3556124533147
156,11.6,26.0,,1.5,54.9,13.9,27.92,1.5,6535.808823529412,6597.2941176470595,6591.666666666667,6436.552574789062,3712.5253276842177
157,13.0,28.0,,1.5,52.6,14.0,25.96,4.3,5172.458077260755,5277.1211589113245,5688.888888888889,5384.895270260413,3505.636549802748
158,13.9,28.8,0.0,1.8,57.5,14.0,24.65,6.4,4664.0719929762945,4696.299604916594,4336.111111111111,4768.973104489549,2314.205845788198
159,15.1,28.0,,1.5,69.5,14.0,27.91,3.8,5711.172519754171,5769.86852502195,6058.333333333333,5635.187495281969,3969.3342112964588
160,16.0,29.1,,1.5,64.5,14.0,27.7,4.9,6363.732001755926,6453.944907813871,6438.88888888889,6219.252102649363,3798.8364194750716
161,16.6,30.6,,1.4,65.0,14.1,25.11,5.8,4942.54104477612,4958.122695346796,5033.333333333333,5110.569488199616,3068.1752821931755
162,17.1,29.2,4.2,1.3,67.3,14.1,17.7,7.0,2148.901009657594,2240.936567164179,2222.222222222222,2251.0631620450567,1790.6883889376647
163,15.8,23.8,18.3,3.3,82.1,14.1,13.89,9.5,1299.0421422300265,1359.776558384548,1447.2222222222222,1437.4139764901681,1056.7396107696811
164,19.9,25.6,0.3,1.7,81.4,14.1,12.24,9.3,1353.6323529411766,1430.6470588235293,805.5555555555555,955.9229771010475,878.6632180009046
165,12.2,22.0,2.7,3.3,73.1,14.2,22.48,4.9,4047.20258999122,4158.416812993854,4147.222222222222,3787.02785879233,1109.7155173625192
166,9.1,23.8,,2.3,63.1,14.2,31.1,0.0,6589.573090430202,6733.039947322212,6797.222222222223,6833.167788233474,2452.5976835382935
167,11.4,28.1,,2.1,54.4,14.2,31.12,0.0,6660.509218612819,6825.376426690078,6772.222222222223,6804.56860134393,2705.765899187958
168,16.2,29.8,,1.7,54.6,14.3,30.22,0.3,6784.59648672132,7005.9606739351875,6991.666666666666,6741.932945942174,3234.6952992508454
169,17.1,32.4,,1.7,61.1,14.3,27.66,1.3,6218.908911325724,6406.984635645302,6641.666666666667,6413.230383565049,4321.868355193729
170,18.0,29.6,,1.5,61.3,14.3,21.06,8.1,2497.1997366110622,2590.725856014047,2377.777777777778,2526.340117024625,1863.8885425812116
171,18.9,30.9,0.0,2.2,55.0,14.3,26.64,8.1,3119.770632133451,3177.220588235294,2397.222222222222,2407.8213311964014,1035.5825412093295
172,13.5,21.3,20.0,3.0,98.6,14.3,2.42,9.4,889.0800565638539,933.7877128340937,716.6666666666667,724.6765802395408,833.7317548024466
173,12.1,22.1,,1.4,76.1,14.4,18.94,5.3,1023.1086479367866,1112.2974100087795,1405.5555555555557,1126.8157450594251,715.7606209150327
174,11.0,25.8,,2.1,69.4,14.4,30.67,0.0,6714.441176470588,6992.029411764705,7055.555555555554,6816.981805824184,3124.3402406417113
175,13.0,26.8,0.1,1.9,58.9,14.4,21.79,7.4,2794.2140035118528,2926.1611062335382,2769.4444444444443,2903.5994807441252,1624.3546648220572
176,15.0,23.4,0.0,2.0,74.3,14.4,27.01,4.8,4224.205882352941,4424.367647058823,4791.666666666666,4187.603769654641,1391.7358761259773
177,12.7,25.8,,1.4,70.8,14.4,26.23,6.8,5577.308823529412,5795.764705882353,5397.222222222223,5515.524130066775,2762.5080504341036
